"","id","activity_date","total_steps","total_distance","tracker_distance","logged_activities_distance","very_active_distance","moderately_active_distance","light_active_distance","sedentary_active_distance","very_active_minutes","fairly_active_minutes","lightly_active_minutes","sedentary_minutes","calories","day_of_week"
"1",1503960366,"4/12/2016",13162,8.5,8.5,0,1.87999999523163,0.550000011920929,6.05999994277954,0,25,13,328,728,1985,"Tuesday"
"2",1624580081,"4/12/2016",8163,5.30999994277954,5.30999994277954,0,0,0,5.30999994277954,0,0,0,146,1294,1432,"Tuesday"
"3",1644430081,"4/12/2016",10694,7.76999998092651,7.76999998092651,0,0.140000000596046,2.29999995231628,5.32999992370605,0,2,51,256,1131,3199,"Tuesday"
"4",1844505072,"4/12/2016",6697,4.42999982833862,4.42999982833862,0,0,0,4.42999982833862,0,0,0,339,1101,2030,"Tuesday"
"5",1927972279,"4/12/2016",678,0.469999998807907,0.469999998807907,0,0,0,0.469999998807907,0,0,0,55,734,2220,"Tuesday"
"6",2022484408,"4/12/2016",11875,8.34000015258789,8.34000015258789,0,3.30999994277954,0.769999980926514,4.26000022888184,0,42,14,227,1157,2390,"Tuesday"
"7",2026352035,"4/12/2016",4414,2.74000000953674,2.74000000953674,0,0.189999997615814,0.349999994039536,2.20000004768372,0,3,8,181,706,1459,"Tuesday"
"8",2320127002,"4/12/2016",10725,7.48999977111816,7.48999977111816,0,1.16999995708466,0.310000002384186,6.01000022888184,0,13,9,306,1112,2124,"Tuesday"
"9",2347167796,"4/12/2016",10113,6.82999992370605,6.82999992370605,0,2,0.620000004768372,4.19999980926514,0,28,13,320,964,2344,"Tuesday"
"10",2873212765,"4/12/2016",8796,5.90999984741211,5.90999984741211,0,0.109999999403954,0.930000007152557,4.88000011444092,0,2,21,356,1061,1982,"Tuesday"
"11",3372868164,"4/12/2016",4747,3.24000000953674,3.24000000953674,0,0,0,3.23000001907349,0.00999999977648258,0,0,280,1160,1788,"Tuesday"
"12",3977333714,"4/12/2016",8856,5.98000001907349,5.98000001907349,0,3.05999994277954,0.910000026226044,2.00999999046326,0,44,19,131,777,1450,"Tuesday"
"13",4020332650,"4/12/2016",8539,6.11999988555908,6.11999988555908,0,0.150000005960464,0.239999994635582,5.67999982833862,0,4,15,331,712,3654,"Tuesday"
"14",4057192912,"4/12/2016",5394,4.03000020980835,4.03000020980835,0,0,0,3.94000005722046,0,0,0,164,1276,2286,"Tuesday"
"15",4319703577,"4/12/2016",7753,5.19999980926514,5.19999980926514,0,0,0,0,0,0,0,0,1440,2115,"Tuesday"
"16",4388161847,"4/12/2016",10122,7.78000020980835,7.78000020980835,0,0,0,0,0,0,0,0,1440,2955,"Tuesday"
"17",4445114986,"4/12/2016",3276,2.20000004768372,2.20000004768372,0,0,0,2.20000004768372,0,0,0,196,787,2113,"Tuesday"
"18",4558609924,"4/12/2016",5135,3.39000010490417,3.39000010490417,0,0,0,3.39000010490417,0,0,0,318,1122,1909,"Tuesday"
