"","day_of_week","calories"
"1","Tuesday",1985
"2","Tuesday",1432
"3","Tuesday",3199
"4","Tuesday",2030
"5","Tuesday",2220
"6","Tuesday",2390
"7","Tuesday",1459
"8","Tuesday",2124
"9","Tuesday",2344
"10","Tuesday",1982
"11","Tuesday",1788
"12","Tuesday",1450
"13","Tuesday",3654
"14","Tuesday",2286
"15","Tuesday",2115
"16","Tuesday",2955
"17","Tuesday",2113
"18","Tuesday",1909
"19","Tuesday",2947
"20","Tuesday",2026
"21","Tuesday",3405
"22","Tuesday",1496
"23","Tuesday",2560
"24","Tuesday",1841
"25","Tuesday",1994
"26","Tuesday",2937
"27","Tuesday",2772
"28","Tuesday",3186
"29","Tuesday",2044
"30","Tuesday",3635
"31","Tuesday",2650
"32","Tuesday",2044
"33","Tuesday",3921
"34","Wednesday",1797
"35","Wednesday",1411
"36","Wednesday",2902
"37","Wednesday",1860
"38","Wednesday",2151
"39","Wednesday",2601
"40","Wednesday",1521
"41","Wednesday",2003
"42","Wednesday",2038
"43","Wednesday",2004
"44","Wednesday",2093
"45","Wednesday",1495
"46","Wednesday",1981
"47","Wednesday",2306
"48","Wednesday",2135
"49","Wednesday",3092
"50","Wednesday",2095
"51","Wednesday",1722
"52","Wednesday",2898
"53","Wednesday",1718
"54","Wednesday",2551
"55","Wednesday",1496
"56","Wednesday",2905
"57","Wednesday",2400
"58","Wednesday",1718
"59","Wednesday",2742
"60","Wednesday",2516
"61","Wednesday",3140
"62","Wednesday",1935
"63","Wednesday",4079
"64","Wednesday",2654
"65","Wednesday",1934
"66","Wednesday",3566
"67","Thursday",1776
"68","Thursday",1572
"69","Thursday",3226
"70","Thursday",2130
"71","Thursday",2383
"72","Thursday",2312
"73","Thursday",1431
"74","Thursday",1696
"75","Thursday",2010
"76","Thursday",1893
"77","Thursday",2065
"78","Thursday",1433
"79","Thursday",2011
"80","Thursday",1776
"81","Thursday",2302
"82","Thursday",2998
"83","Thursday",2194
"84","Thursday",1922
"85","Thursday",2984
"86","Thursday",2324
"87","Thursday",4022
"88","Thursday",1496
"89","Thursday",2952
"90","Thursday",2507
"91","Thursday",1466
"92","Thursday",2668
"93","Thursday",2734
"94","Thursday",3411
"95","Thursday",1705
"96","Thursday",4163
"97","Thursday",2443
"98","Thursday",1963
"99","Thursday",3793
"100","Friday",1745
"101","Friday",1344
"102","Friday",2750
"103","Friday",1725
"104","Friday",2221
