"","day_of_week","total_steps"
"1","Tuesday",13162
"2","Tuesday",8163
"3","Tuesday",10694
"4","Tuesday",6697
"5","Tuesday",678
"6","Tuesday",11875
"7","Tuesday",4414
"8","Tuesday",10725
"9","Tuesday",10113
"10","Tuesday",8796
"11","Tuesday",4747
"12","Tuesday",8856
"13","Tuesday",8539
"14","Tuesday",5394
"15","Tuesday",7753
"16","Tuesday",10122
"17","Tuesday",3276
"18","Tuesday",5135
"19","Tuesday",7213
"20","Tuesday",11596
"21","Tuesday",8135
"22","Tuesday",0
"23","Tuesday",4562
"24","Tuesday",0
"25","Tuesday",10199
"26","Tuesday",14172
"27","Tuesday",11317
"28","Tuesday",18060
"29","Tuesday",9033
"30","Tuesday",7626
"31","Tuesday",5014
"32","Tuesday",2564
"33","Tuesday",23186
"34","Wednesday",10735
"35","Wednesday",7007
"36","Wednesday",8001
"37","Wednesday",4929
"38","Wednesday",356
"39","Wednesday",12024
"40","Wednesday",4993
"41","Wednesday",7275
"42","Wednesday",10352
"43","Wednesday",7618
"44","Wednesday",9715
"45","Wednesday",10035
"46","Wednesday",0
"47","Wednesday",5974
"48","Wednesday",8204
"49","Wednesday",10993
"50","Wednesday",2961
"51","Wednesday",4978
"52","Wednesday",6877
"53","Wednesday",4832
"54","Wednesday",5077
"55","Wednesday",0
"56","Wednesday",7142
"57","Wednesday",4053
"58","Wednesday",5652
"59","Wednesday",12862
"60","Wednesday",5813
"61","Wednesday",16433
"62","Wednesday",8053
"63","Wednesday",12386
"64","Wednesday",5571
"65","Wednesday",1320
"66","Wednesday",15337
"67","Thursday",10460
"68","Thursday",9107
"69","Thursday",11037
"70","Thursday",7937
"71","Thursday",2163
"72","Thursday",10690
"73","Thursday",3335
"74","Thursday",3973
"75","Thursday",10129
"76","Thursday",7910
"77","Thursday",8844
"78","Thursday",7641
"79","Thursday",108
"80","Thursday",0
"81","Thursday",10210
"82","Thursday",8863
"83","Thursday",3974
"84","Thursday",6799
"85","Thursday",7860
"86","Thursday",17022
"87","Thursday",8596
"88","Thursday",0
"89","Thursday",7671
"90","Thursday",5162
"91","Thursday",1551
"92","Thursday",11179
"93","Thursday",9123
"94","Thursday",20159
"95","Thursday",5234
"96","Thursday",13318
"97","Thursday",3135
"98","Thursday",1219
"99","Thursday",21129
"100","Friday",9762
"101","Friday",1510
"102","Friday",5263
"103","Friday",3844
"104","Friday",980
"105","Friday",11034
"106","Friday",3821
"107","Friday",5205
"108","Friday",10465
"109","Friday",8482
"110","Friday",7451
"111","Friday",9010
"112","Friday",1882
"113","Friday",3984
"114","Friday",5664
"115","Friday",8758
"116","Friday",7198
"117","Friday",7795
"118","Friday",6506
"119","Friday",16556
"120","Friday",12087
"121","Friday",14019
"122","Friday",9501
"123","Friday",1282
"124","Friday",5563
